Fecha;Centro de despacho;Efectividad de reparto;Pedidos
13/06/2025;HUACHIPA;97.4 %;853
13/06/2025;CALLAO;97.3 %;262
13/06/2025;VES;95.1 %;594
13/06/2025;TRUJILLO;94.2 %;191
13/06/2025;INDEPENDENCIA;93.5 %;735
13/06/2025;PIURA;91.9 %;235
20/06/2025;CALLAO;97.1 %;279
20/06/2025;TRUJILLO;96.1 %;178
20/06/2025;HUACHIPA;95.5 %;693
20/06/2025;INDEPENDENCIA;94.6 %;670
20/06/2025;VES;93.1 %;534
20/06/2025;PIURA;88.6 %;255
19/06/2025;CALLAO;96.6 %;232
19/06/2025;HUACHIPA;95.8 %;782
19/06/2025;TRUJILLO;95.6 %;203
19/06/2025;VES;94.9 %;532
19/06/2025;INDEPENDENCIA;93.5 %;678
19/06/2025;PIURA;82.8 %;244
18/06/2025;HUACHIPA;96.6 %;701
18/06/2025;CALLAO;94.9 %;253
18/06/2025;INDEPENDENCIA;94.4 %;605
18/06/2025;VES;92.7 %;565
18/06/2025;PIURA;90.0 %;271
18/06/2025;TRUJILLO;89.7 %;203
17/06/2025;CALLAO;96.9 %;262
17/06/2025;HUACHIPA;96.0 %;700
17/06/2025;VES;95.8 %;552
17/06/2025;INDEPENDENCIA;92.9 %;609
17/06/2025;TRUJILLO;91.1 %;192
17/06/2025;PIURA;84.8 %;263
14/06/2025;CALLAO;96.0 %;275
14/06/2025;VES;94.9 %;627
14/06/2025;HUACHIPA;94.4 %;820
14/06/2025;TRUJILLO;93.3 %;179
14/06/2025;INDEPENDENCIA;92.4 %;698
14/06/2025;PIURA;85.7 %;279
16/06/2025;CALLAO;96.0 %;202
16/06/2025;HUACHIPA;94.4 %;604
16/06/2025;INDEPENDENCIA;91.5 %;609
16/06/2025;VES;90.8 %;488
16/06/2025;TRUJILLO;89.3 %;150
16/06/2025;PIURA;84.6 %;201
